relationship_id,idea_id,security_id,relationship_type,direction,mechanism,sensitivity,confidence,catalyst,invalidation,status,research_page,last_reviewed_at,next_review_at,created_at,updated_at
relationship_d9c8f578040386a487be,idea_digital_attention_gaming_ecosystems,security_c9a37d277445869a8809,beneficiary,positive,"Creator content and discovery can increase Roblox users, hours, payer activity, bookings, revenue, and cash flow; shareholder benefit depends on safety and trust, creator and infrastructure costs, cohort durability, cash conversion, and dilution discipline.",high,medium,"Post-age-check engagement and acquisition stabilize, payer and older-user growth remain durable, long-tail content keeps gaining share, advertising and subscriptions add monetization, creator earnings expand with sustainable platform economics, and free cash flow per diluted share grows.","Safety or regulatory failures impair trust; age controls cause enduring acquisition or retention declines; attention fragments; content concentration rises; bookings or payer growth decouple from engagement; creator, distribution, infrastructure or moderation costs absorb revenue; deferred-revenue timing dominates cash generation; or dilution outruns per-share cash-flow growth.",accepted,data/wiki/relationships/relationship_d9c8f578040386a487be.md,2026-07-28T01:41:57Z,2026-08-14T12:00:00Z,2026-07-28T01:43:12Z,2026-07-28T01:43:12Z
relationship_def43e5b4e13577e2b99,idea_critical_minerals_copper,security_2dbe878dfc899d7ee867,beneficiary,positive,"Structural copper scarcity can raise Freeport-McMoRan's realized copper prices, mine margins, operating cash flow, and reserve option value; shareholder benefit depends on attributable production, unit costs, capital spending, minority interests, safety, and Indonesian operating terms.",high,high,"Copper pricing remains supported while safe Grasberg restoration, Americas leach initiatives and brownfield projects lift attributable sales, unit costs remain controlled, operating cash flow exceeds capital needs, and final Indonesian rights preserve common-share value.","New supply, recycling, substitution or weaker demand removes scarcity; production recovery stalls; costs or capex absorb pricing gains; Indonesian terms worsen; safety incidents recur; or attributable free cash flow fails to rise with realized copper prices.",accepted,data/wiki/relationships/relationship_def43e5b4e13577e2b99.md,2026-07-28T01:29:38Z,2026-08-26T01:29:38Z,2026-07-28T01:30:55Z,2026-07-28T01:30:55Z
relationship_e514a92bf6c38d0754ee,idea_digital_attention_gaming_ecosystems,security_8b703a8adf5f864acaa4,beneficiary,positive,"Prosus receives most look-through value from Tencent's games, attention, advertising and consumer-services ecosystem plus private ecommerce platforms; the benefit reaches PRX shareholders through NAV, private-asset cash flow and repurchases executed below NAV.",high,medium,"Tencent and private-platform value or cash flow grows, ecommerce profitability broadens, net debt remains controlled, transparent NAV persists and discounted-share repurchases continue to increase NAV per share.",Tencent or private-platform economics deteriorate materially; ecosystem exposure becomes immaterial after debt; governance or cross-holding complexity prevents value transmission; net debt rises; repurchases lose accretion; or the holding-company discount widens persistently despite operating value creation.,accepted,data/wiki/relationships/relationship_e514a92bf6c38d0754ee.md,2026-08-28T20:01:33Z,2026-09-30T12:00:00Z,2026-08-28T20:02:12Z,2026-08-28T20:02:12Z
relationship_e5f55616b9beaf661080,idea_ai_compute_networking_hyperscaler_monetization,security_6f9a1450edceb9307c9a,beneficiary,positive,"Scaling AI training and inference increases demand for low-latency, high-throughput data-centre fabrics; Arista can convert that demand through Ethernet switching and routing products, EOS software, and related services into revenue, gross profit, and cash flow, subject to customer concentration, architecture substitution, qualification, supply, inventory, purchase commitments, and valuation.",high,medium,"Q2 and later primary evidence shows durable cloud and AI networking growth, explicit AI-network revenue progression, maintained margins and cash conversion, successful 1.6T qualification, customer diversification, and inventory and purchase commitments aligned with realized demand.",Ethernet loses material AI-fabric share; major customers internalize networking; aggregate AI capex stops reaching Arista revenue; qualification or acceptance slows; merchant-silicon or supply constraints impair launches; purchase commitments become excess inventory; or concentration drives sustained margin and cash-flow deterioration.,accepted,data/wiki/relationships/relationship_e5f55616b9beaf661080.md,2026-07-28T02:38:27Z,2026-08-14T12:00:00Z,2026-07-28T02:39:37Z,2026-07-28T02:39:37Z
relationship_f2efab6050df0edcb762,idea_digital_finance_crypto_rails,security_37ddcbdaad296ad831f2,beneficiary,positive,"Clearer rules and broader adoption can increase regulated trading, custody, stablecoin balances, payments, financing, and on-chain activity; Coinbase can monetize those flows through transaction fees, stablecoin revenue, subscriptions and services, institutional products, custody, and Base, subject to crypto-cycle, rate, partner-term, take-rate, counterparty, custody, cyber, regulatory, stock-compensation, dilution, and valuation risks.",high,medium,"Q2 and later primary evidence shows stablecoin balances and non-speculative payment usage growing despite lower rates, recurring subscription and custody revenue expanding, resilient transaction share, durable GAAP cash earnings through a crypto drawdown, lower counterparty concentration, strong custody controls, and dilution-adjusted cash generation.","Adoption remains predominantly speculative; crypto activity contracts without resilient recurring revenue; lower rates or adverse partner terms overwhelm stablecoin balance growth; competitors capture the economics; fees compress structurally; a material custody, cyber, credit, or regulatory loss occurs; or stock-based compensation and dilution prevent operating growth from reaching shareholders.",accepted,data/wiki/relationships/relationship_f2efab6050df0edcb762.md,2026-07-28T02:49:25Z,2026-08-14T12:00:00Z,2026-07-28T02:51:55Z,2026-07-28T02:51:55Z
relationship_f625ba3c07d49e1865ff,idea_digital_attention_gaming_ecosystems,security_de0d83229b369a426b99,beneficiary,positive,"Tencent can convert games, Weixin attention, advertising, payments and cloud engagement into revenue, margins and cash flow, with AI improving discovery and monetization when incremental compute returns exceed capital and operating costs.",high,medium,"Games, marketing services and fintech growth remains durable; Weixin engagement and advertising monetization improve; AI spending produces measurable revenue or margin gains; cash conversion recovers; and capital returns remain covered.","Attention and games cease to drive material economics; regulation, content restrictions or competition impair monetization; AI spending persistently destroys cash; fintech or cloud economics weaken; or ADR and common-share transmission becomes unreliable.",accepted,data/wiki/relationships/relationship_f625ba3c07d49e1865ff.md,2026-08-28T20:03:02Z,2026-09-30T12:00:00Z,2026-08-28T20:03:43Z,2026-08-28T20:03:43Z
relationship_humanoid_nvda,idea_humanoid_robotics_embodied_ai_components,security_33d9c44facc75c726c7d,beneficiary,positive,"Growth in industrial robotics and embodied AI can increase demand for NVIDIA simulation, world models, training compute, edge modules, safety tooling and the CUDA developer stack; integrations across major robot makers and humanoid developers establish a product channel, although attributable revenue and deployment economics remain undisclosed.",medium,medium,"Robot makers disclose repeat paid NVIDIA-based deployments, attributable system or software revenue becomes material, safety certification supports scale, or multi-site autonomous-machine deployments show durable uptime and task economics.",Humanoids remain demonstrations; fixed automation wins the same tasks; robot makers internalize or select competing compute and software; safety or reliability blocks scale; or physical-AI revenue remains immaterial despite ecosystem announcements.,accepted,data/wiki/relationships/relationship_humanoid_nvda.md,2026-08-07T09:16:40Z,2026-10-15T12:00:00Z,2026-08-07T09:17:23Z,2026-08-07T09:17:23Z
relationship_solar_storage_grid_atkr,idea_solar_storage_grid_flexibility_reset,security_22c2b9d782a62d7a9b86,beneficiary,positive,"Electric-load growth, data-centre construction, utility capital expenditure, and grid constraints increase demand for Atkore electrical raceway, conduit, and cable-management products; shareholder benefit depends on pricing catching input costs and volume converting to free cash flow.",medium,medium,"Electrical volume remains positive while pricing catches input inflation, segment margin recovers, and operating cash flow turns sustainably positive.","Electrical demand fails to produce segment volume or input costs, competition, project delays, and working capital prevent adequate margin and free-cash-flow conversion.",accepted,data/wiki/relationships/relationship_solar_storage_grid_atkr.md,2026-07-25T11:29:47Z,2026-08-15T11:29:47Z,2026-07-25T11:30:35Z,2026-07-25T11:30:35Z
relationship_solar_storage_grid_enph,idea_solar_storage_grid_flexibility_reset,security_f2b9760d847b2ba59324,beneficiary,positive,"A recovery in residential solar financing, installer health, channel inventory, and storage adoption directly raises demand for Enphase microinverters, batteries, gateways, and energy-management software; shareholder benefit depends on margin, cash, warranty, tariff, and policy quality.",high,medium,"US sell-through stabilises without inventory growth, battery shipments recover, tariff-adjusted margin holds, and normalised free cash flow remains positive.","Financing and lost incentives keep demand structurally lower, inventory requires discounting, safe-harbour commitments do not become installations, or tariffs, warranties, and purchase obligations impair returns and cash.",accepted,data/wiki/relationships/relationship_solar_storage_grid_enph.md,2026-07-25T11:31:47Z,2026-08-15T11:31:47Z,2026-07-25T11:32:35Z,2026-07-25T11:32:35Z
relationship_solar_storage_grid_flnc,idea_solar_storage_grid_flexibility_reset,security_a9eb9838940ef5ceaa0c,beneficiary,positive,"Load growth, renewable penetration, grid congestion, and reliability needs increase demand for Fluence storage systems, services, and optimization software; shareholder benefit depends on project margin, working-capital, warranty, and financing conversion.",high,medium,"Backlog converts at stable or rising normalized gross margin, adjusted EBITDA guidance is delivered, and operating cash flow turns sustainably positive.","Storage deployment or backlog weakens, project costs and competition compress margins, working capital remains structurally negative, warranties or trade rules raise costs, or financing dilutes returns.",accepted,data/wiki/relationships/relationship_solar_storage_grid_flnc.md,2026-07-26T19:00:00Z,2026-08-15T12:00:00Z,2026-07-26T18:58:02Z,2026-07-26T18:58:02Z
relationship_terafab_asml,idea_terafab_ai_industrial_stack,security_ef35e41886220d51c22c,beneficiary,positive,"A Terafab ramp into advanced logic and memory requires production lithography systems, software, upgrades and field service that ASML can monetize; xLight's government-funded free-electron-laser work is a prototype source option rather than a qualified scanner replacement, while Terafab-specific tool orders and timing remain undisclosed.",medium,medium,"Terafab discloses a process node and binding ASML tool orders, accepts systems on site, begins wafer production, or creates recurring installed-base service and upgrade revenue with measurable economics.",Terafab remains packaging or mature-node only; advanced-wafer phases are cancelled or delayed indefinitely; no ASML tools are ordered; export or permitting restrictions block delivery; project economics fail; or an alternative lithography route is qualified at competitive production scale.,accepted,data/wiki/relationships/relationship_terafab_asml.md,2026-08-07T09:09:42Z,2026-09-30T12:00:00Z,2026-08-07T09:10:26Z,2026-08-07T09:10:26Z
relationship_terafab_intc,idea_terafab_ai_industrial_stack,security_dfa34d4b9050964b465e,beneficiary,positive,"Intel could monetize process integration, fabrication and advanced-packaging expertise through Terafab and could gain utilization, services or IP economics, but the only current Terafab evidence describes Intel's contribution as proposed and discloses no definitive agreement, work scope, process node, fees, capacity, IP terms, milestones, revenue or cash flow.",low,low,"Intel and SpaceX execute a binding Terafab agreement that identifies process, packaging or IP scope, milestones and measurable fees, utilization, revenue, margin or cash-flow economics material to Intel.",The proposed framework does not become definitive; Intel provides no material technology or services; scope is immaterial or uneconomic; process and packaging milestones slip; IP or governance conflicts block execution; or Intel continues to disclose no measurable Terafab economics.,rejected,data/wiki/relationships/relationship_terafab_intc.md,2026-08-07T09:08:00Z,2026-09-30T12:00:00Z,2026-08-07T09:08:52Z,2026-08-07T09:08:52Z
relationship_terafab_nvda,idea_terafab_ai_industrial_stack,security_33d9c44facc75c726c7d,beneficiary,positive,"Terafab and SpaceXAI require immediately deployable general-purpose training, inference, networking and software while internal fabrication is built and qualified; NVIDIA can convert that demand through Vera Rubin systems, Space-1 orbital modules, interconnect, networking and CUDA into revenue and cash flow, while any domestic packaging or selected-silicon benefit remains conditional and unannounced.",medium,medium,"SpaceXAI discloses material NVIDIA system orders or deployment, orbital compute ships successfully with recurring NVIDIA content, or NVIDIA signs a measurable package, chiplet, capacity, co-development or investment agreement related to Terafab.","SpaceXAI deployment is immaterial, cancelled or shifts materially to internal or competing accelerators; orbital economics fail; export, supply or power constraints prevent delivery; no measurable NVIDIA economics emerge; or customer-designed silicon erodes more NVIDIA revenue than Terafab-related demand creates.",accepted,data/wiki/relationships/relationship_terafab_nvda.md,2026-08-07T09:00:58Z,2026-09-30T12:00:00Z,2026-08-07T09:01:48Z,2026-08-07T09:01:48Z
relationship_terafab_samsung_common_gdr,idea_terafab_ai_industrial_stack,security_567d0d575bbd30aaa91d,beneficiary,positive,"Terafab and SpaceXAI require HBM, server memory, foundry and packaging capacity while internal memory and logic are unqualified; Samsung can monetize the transition through its Nvidia-aligned HBM and integrated semiconductor capabilities, but no Terafab-specific contract or volume is disclosed and successful insourcing creates long-run displacement risk.",medium,low,"Samsung discloses material SpaceXAI or Terafab HBM, memory, foundry or packaging volume; Nvidia-aligned HBM shipments scale with the deployment; or external memory and packaging sourcing persists after internal phases begin.","SpaceXAI demand does not create material Samsung content; Samsung loses relevant HBM or foundry qualifications; Terafab internalizes competitive memory, logic or packaging faster than expected; or long-run displacement outweighs transition revenue.",accepted,data/wiki/relationships/relationship_terafab_samsung_common_gdr.md,2026-08-07T09:12:32Z,2026-09-30T12:00:00Z,2026-08-07T09:13:16Z,2026-08-07T09:13:16Z
relationship_terafab_spcx,idea_terafab_ai_industrial_stack,security_664f93a7eaca72e76e9b,beneficiary,positive,"SpaceX is the proposed owner, principal user and systems integrator of Terafab; successful internal packaging, selected silicon and compute-system production could reduce deployment bottlenecks and improve iteration speed for Starlink, Starship, xAI and orbital compute, but those benefits accrue only if utilization, yield and cost exceed the campus's capital and governance burden.",high,medium,"Binding Terafab phase financing, tool and process commitments; first qualified products with disclosed cost, yield or deployment benefits; measurable SpaceXAI or orbital-compute capacity; or capex converting into durable segment revenue and cash flow.","Frameworks remain non-binding; construction, utilities, tools or product qualification slip materially; yield and unit cost remain uncompetitive; the campus is underutilized; related-party governance transfers value; or Terafab capex and losses outweigh supply-security and deployment benefits.",accepted,data/wiki/relationships/relationship_terafab_spcx.md,2026-08-07T09:04:58Z,2026-09-30T12:00:00Z,2026-08-07T09:05:44Z,2026-08-07T09:05:44Z
relationship_terafab_tsla,idea_terafab_ai_industrial_stack,security_dc7a111e297be528d96b,beneficiary,positive,"Tesla designs workload-specific inference chips for vehicles, robotics and AI systems; a qualified Terafab process and packaging route could shorten design-to-production cycles, improve supply security and coordinate edge-compute products with SpaceXAI demand, but the public framework is non-binding and discloses no capacity, price, capital or ownership economics.",medium,medium,"Tesla and SpaceX execute binding Terafab terms; Tesla identifies a qualified chip or package, measurable volume, cost, performance or iteration gains; or Terafab-supported Optimus, autonomy or edge products contribute disclosed economics.","The framework does not become definitive; Tesla products remain externally fabricated without an economic disadvantage; Terafab yield, cost or schedule is uncompetitive; related-party terms transfer value; or incremental capex and complexity exceed supply-security and iteration benefits.",accepted,data/wiki/relationships/relationship_terafab_tsla.md,2026-08-07T09:06:25Z,2026-09-30T12:00:00Z,2026-08-07T09:07:11Z,2026-08-07T09:07:11Z
relationship_terafab_tsm,idea_terafab_ai_industrial_stack,security_ce9b78a4d0773c950765,beneficiary,positive,"SpaceXAI and Terafab's staged buildout increase near-term demand for externally fabricated Nvidia and custom silicon while internal logic, packaging and memory are unqualified; TSMC can monetize that bridge through leading-node wafers and advanced packaging, but successful Terafab internalization creates a long-run displacement risk.",medium,medium,"SpaceXAI or Tesla demand produces measurable TSMC-fabricated accelerator or custom-silicon volume, advanced-packaging demand expands during the Terafab ramp, or external sourcing persists after internal phases begin.",SpaceXAI demand is immaterial or shifts away from TSMC-fabricated products; Terafab qualifies competitive leading-edge logic and packaging faster than expected; TSMC loses relevant Nvidia or custom-silicon designs; or incremental bridge revenue is outweighed by durable customer insourcing.,accepted,data/wiki/relationships/relationship_terafab_tsm.md,2026-08-07T09:11:04Z,2026-09-30T12:00:00Z,2026-08-07T09:11:48Z,2026-08-07T09:11:48Z
relationship_wide_bandgap_nvda,idea_wide_bandgap_power_semiconductors,security_33d9c44facc75c726c7d,beneficiary,positive,"NVIDIA's 800 VDC AI-factory architecture can accelerate SiC and GaN adoption and can reduce current, copper, conversion stages and power-delivery constraints around NVIDIA systems, but NVIDIA is the architecture and compute vendor rather than the evidenced WBG component supplier and discloses no material WBG-attributable revenue or margin.",low,low,"NVIDIA discloses that 800 VDC deployment materially increases system revenue, time-to-power, attach economics or margins; recurring WBG-enabled platform economics become measurable; or NVIDIA captures material power-system content rather than only enabling suppliers.",800 VDC migration slips; improved silicon remains sufficient; WBG economics accrue to component and power suppliers rather than NVIDIA; power remains a deployment bottleneck; or NVIDIA continues to disclose no material WBG-attributable shareholder economics.,rejected,data/wiki/relationships/relationship_wide_bandgap_nvda.md,2026-08-07T09:18:05Z,2026-11-30T12:00:00Z,2026-08-07T09:18:47Z,2026-08-07T09:18:47Z
